title,desc,category,website,email,tel
HelloBoss（株式会社NGA）,第３世代のAI採用サービス『HelloBoss』を運営しております。人材紹介や従来型の求人広告サービスと比較し、人を介さずによりスムーズに利用することが可能です。人が必要だった作業をAIが代行することにより、今までにない採用コストを実現できます。また、求人にマッチする求職者をAIでレコメンドしてくれるため、ミスマッチが起こりづらくなっていることも特徴の一つです。人材の定着率や採用時の母集団形成に課題を感じている企業様のお力になることができると確信しております。リリース1年未満で1000社以上のクライアント様に導入いただき、今年度は日本の人事部「ＨＲアワード2024」入賞および「第9回 HRテクノロジー大賞」にて注目スタートアップ賞をいただくなど高い評価をいただいております。,"HR EXPO （人事労務・教育・採用）, HRテクノロジー, 採用管理システム, 採用ツール作成, 採用代行・コンサルティング, その他 採用サービス",,,
HRMOSシリーズ（株式会社 ビズリーチ）,企業が競争力を高めるためには、優秀な人材を採用できる力をつける必要があります。そこで弊社では、｢ビズリーチ｣において、これまで人材紹介会社のみに公開していた即戦力人材データベースを企業にも公開。また、採用活動の効率化や入社後の活躍など、さまざまな側面から企業の人事機能強化を促す｢HRMOS｣シリーズによって、幅広いご支援が可能になっています。貴社におかれましても、弊社が提供するサービスがお役に立つことができましたら幸いです。,"HR EXPO （人事労務・教育・採用）, 人事管理システム, 勤怠管理システム, 給与計算システム, 人事評価システム, 労務管理システム, HRテクノロジー, エンゲージメントツール, 採用管理システム, オンボーディングツール, 従業員エンゲージメント向上, 従業員意識調査, コミュニケーションツール, 離職防止, 経費精算システム",,,
バヅクリ 株式会社,バヅクリは人材育成/組織開発の戦略策定から施策実行、効果測定まで一貫してエンゲージメント向上を支援するサービスです。,"HR EXPO （人事労務・教育・採用）, エンゲージメントツール, 社員研修サービス, リスキリング支援, 職種別研修, 階層別研修, デジタル人材育成, 人材育成コンサルティング, チームビルディング支援, コーチング, 従業員エンゲージメント向上, 従業員意識調査, コミュニケーションツール, 離職防止, 従業員エンゲージメント",,,
株式会社VARIETAS,企業の生産性に最も重要な“採用”という機能には課題が山積しています。“人が人を見極める”ことで起きる様々な問題を、“人とAIで見極める”ことによって解決する。私たちは、書類選考から一次面接を新しい仕組みと技術で代替し、社会の生産性を高めていきます。その一つが『AI面接官』です。 トレーニングされたAI面接官による書類選考・一次面接で、一般的に採用で見るべきとされる項目を多角的に評価します。ESをもとに面接を行い、応募を効率的かつ公正に評価し、各社の条件を満たす候補者をポテンシャルの見逃しなく、確認することが可能です。 また面接業務のサポートに止まらず、アトラクトや人材要件策定の支援も。詳しくはブースにてご確認ください。,"HR EXPO （人事労務・教育・採用）, AI・RPA（業務自動化）ツール, HRテクノロジー, ピープルアナリティクス, 採用管理システム, 採用代行・コンサルティング",,,
ビズメイツ 株式会社,"ビジネス特化型のオンライン英会話「Bizmates」は、累計1,300社以上の企業様にご導入いただいております。ビジネス経験を保有した一流のトレーナーのみを採用しており、職歴・業種に合わせてトレーナーをご選択いただけます。ビジネス経験者から学ぶことで、実践的なロールプレイが可能です。 マンツーマンレッスンの他に、初心者でも習慣化につなげやすい「Bizmates Coaching」、効果測定が図れる「Bizmates TEST」、実践型グループ研修や、講師派遣、フィリピンで行う海外研修など、課題・目的に合わせた研修を提案から導入後までサポートさせていただきます。 また、外国籍社員が日本で活躍するための効果的なコミュニケーションスキル獲得を支援する「Zipan」も提供しております。単なる日本語学習ではなく、日本で働く上で必要な文化理解やマインドセットを身に着けるためのプログラムになっています。上級者レベルでは「問題解決」「意思決定」等の実践力を高めるためのロールプレイやディスカッションを通じて、ビジネスコミュニケーションスキルをさらに高めることができます。","HR EXPO （人事労務・教育・採用）, 社員研修サービス, リスキリング支援, グローバル人材育成・採用, その他 福利厚生サービス",,,
株式会社ビズリーチ（ハーモス）,ハーモスシリーズは、 株式会社ビズリーチが人材領域で培った豊富なノウハウを元に各サービスを開発・提供。 採用から活躍、人事・労務の業務効率化までを支援します。,"HR EXPO （人事労務・教育・採用）, 会計・財務 EXPO, 勤怠管理システム, 経費精算システム",,,
株式会社 ビズリーチ,能動的な採用活動を実践するためのビズリーチ独自の採用システムです。 データベースを見て、欲しい人材に直接アプローチできます。,HR EXPO （人事労務・教育・採用）,,,
株式会社 FiveVai（ファイブベイ）,株式会社ファイブベイ（FiveVai）は、人財開発とデジタルトランスフォーメーション（DX）事業を柱に、企業の課題解決や価値創造に向けたソリューションを提供する企業です。人財開発事業部では、研修や社員教育、組織風土開発、経営コンサルティングなどを通じ、特に次世代リーダーの育成に注力しており、その成果は高い評価を得ています。 DX事業では、Web制作、システム開発、DXコンサルティングやアドバイザリーなどのサービスを提供し、デジタル技術を活用した業務効率化やプロセス自動化、セキュリティ強化を支援。さらに、AIやデータサイエンスなどの先端技術のビジネス現場への適用を推進し、企業の競争力強化に貢献しています。産学連携支援やアドバイザリー業務を通じて、企業と教育機関の協力体制の構築にも取り組んでいます。 本社は東京都渋谷区千駄ヶ谷に位置し、多様なサービスで顧客のビジネス変革をサポートしています。,"HR EXPO （人事労務・教育・採用）, 階層別研修, 人材育成コンサルティング, チームビルディング支援, 従業員エンゲージメント向上",https://five-vai.com/,mailto:hr@five-vai.com,tel:050-1791-5330（代表）
ファインディ株式会社,"IT/Webエンジニアの採用サービス「Findy」及び「Findy Freelance」を提供。ITエンジニアと企業のマッチングサービスの累計会員登録数は20万人、登録企業数は2,300社を突破。特にハイスキルエンジニアの正社員採用・業務委託の紹介が特徴で、多くの企業様の事業推進やDX推進の文脈でご利用いただいております。 また、エンジニア組織支援SaaS「Findy Team+（チームプラス）」を提供しており、国内外のスタートアップ企業から大企業まで約350社(トライアルを含む)にご利用いただいております。",HR EXPO （人事労務・教育・採用）,https://findy-code.io/enterprise-service/,mailto:fc-marketing@findy.co.jp,tel:03-6417-0199
株式会社 フィールドキャスター,,HR EXPO （人事労務・教育・採用）,,,
株式会社 フォロアス,【『いっと』とは？】 企業の退職者面談を代行、退職者のホンネ調査から対策の立案までを一貫して行うサービスです。 【なぜ今、「退職者面談」が注目されているのか】 ■“退職に繋がる要因”は退職者に聞くしかない！■ このことに気付いた企業が年々増え、「退職面談」のキーワード検索数は3年前比で330％UP。 退職者のホンネを聴くことは「精度の高いフィードバックをもらうこと」なのです。 【『いっと』だからホンネがわかる！3つの理由】 ■POINT①＿第三者だから聞ける■ 会社に伝える退職理由のうち、70.4％が実はタテマエです。 『いっと』は、月間200名以上面談する経験豊富なインタビュアー達が、第三者の立場で退職者と面談。心理安全性を保ってホンネを引き出します。 ■POINT②＿プロのスキルがある■ 適切な設問と技術で、退職者自身が「気付けない」「認めたくない」本質的な原因まで探ります。 『いっと』が導き出した退職理由は実に654通り！ ■POINT➂＿レポートの質が高い■ 退職の発生要因を心理学的見地で可視化します。 5段階評価やグラフによって退職者心理を見られるだけでなく、対策レポートも充実しており、貴社独自の対策をすぐに実行できます。,"働き方改革 EXPO, HR EXPO （人事労務・教育・採用）, 健康経営 EXPO, その他 DX・働き方改革関連サービス, 人事管理システム, エンゲージメントツール, 社員研修サービス, コーチング, その他 教育・人材育成サービス, 従業員エンゲージメント向上, 従業員意識調査, 離職防止, 従業員エンゲージメント, その他ITサービス",,,
株式会社 フライヤー,"2013年に個人向けサービスとしてスタートしましたが、忙しいビジネスパーソンにスキマ時間で学習してもらうために、2019年から法人版を提供しております。 2023年に法人版はflier business（フライヤービジネス）へ生まれ変わり人材育成のさらなる進化を推進しています。 「学び直し」「人的資本」など社会的なトレンドの後押しもあり、累計導入企業数は1,000社を超え、2019年以降、毎年1.6倍以上で進捗しています。 flier business（フライヤービジネス）の特徴は、3,600冊を超える全ての本が読める個人版（ゴールドプラン）と同様の機能に加えて、社内SNS的に本の感想をシェアできる機能、各企業様ごとにオリジナルで要約リストを作成できる機能、管理画面から利用者の閲覧状況データ生成などが利用できるように。 これにより、社内の学び文化を醸成することや、社員同士が刺激し合える環境を作ることができます。 また、基本的には個人会員月額2,200円よりも一人当たりが安く利用できるようになるため、経済的なメリットもあります。 スキマ時間での学習促進や、様々な本に触れてもらい興味関心を育てられるのがflierの良さです。 主体的に社員が学ぶきっかけ作りを、flierで一緒に取り組みませんか？","HR EXPO （人事労務・教育・採用）, その他 DX・働き方改革関連サービス, 社員研修サービス, リスキリング支援, 職種別研修, 階層別研修",,,
メンターズ（by Wistant）,株式会社フルートは、人が多様な価値を発揮できる、新しい「はたらく」のスタンダードを作ることに挑んでいます。1on1や目標管理、評価をオールインワンで実現するピープルマネジメントツール「Wistant（ウィスタント）」と、プロが伴走する1on1の質向上支援サービス「メンターズ」をご提供しております。「メンターズ」は、社外メンターの活用により、管理職を起点に社内の1on1の質を短期間に向上させる実績を持つサービスです。管理職のコミュニケーションスキルの向上だけでなく、社内の共通する課題も明確になるため、早急な対処や施策立案ができ、組織全体のエンゲージメント向上が実現します。,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, コーチング, 従業員エンゲージメント向上, 離職防止, 従業員エンゲージメント",,,
株式会社 BoostDraft,,"法務・コンプライアンス EXPO, 契約書作成・確認サービス",,,
株式会社 プラスアルファ・コンサルティング,1. マーケティングソリューション事業 ・顧客体験フィードバックシステム「見える化エンジン」開発・運営 ・FAQソリューション「アルファスコープ」開発・運営 2. CRMソリューション事業 ・CRM／MAシステム「カスタマーリングス」開発・運営 3. HRプラットフォーム事業 ・タレントマネジメントシステム「タレントパレット」開発・運営,"HR EXPO （人事労務・教育・採用）, 人事管理システム, 人事評価システム, エンゲージメントツール, リスキリング支援, 採用管理システム",,,
ベネッセグループ,一人ひとりの「よく生きる」の実現に向けて、生涯にわたって向上意欲と課題解決を支援し続けることが、ベネッセグループの理念であり、事業活動の根幹です。 ベネッセの社会人教育では「学び」を起点としながらも、個人や組織の可能性を引き出し、それを生かせる社会づくりを目指しています。大人が可能性と生きていく社会の実現へ向けて、より広い学びの機会を提供し、身につけたスキルを生かせる仕組みづくりに取り組んでいます。 大人が可能性と生きていく社会へ。 ベネッセグループは、社会人領域の幅広い課題に対し、最適なソリューションサービスをご提案いたします。,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, リスキリング支援, 職種別研修, 階層別研修, デジタル人材育成, グローバル人材育成・採用, コーチング, 採用管理システム, ハイクラス人材採用, 採用代行・コンサルティング, その他 採用サービス, 従業員エンゲージメント向上",,,
クラウドサイン／弁護士ドットコム 株式会社,弁護士ドットコムの開発・運営、弁護士ドットコムニュースの運営、税理士ドットコムの開発・運営、クラウドサインの開発・提供、BUSINESS LAWYERSの運営、弁護士ドットコムキャリアの運営,"法務・コンプライアンス EXPO, 電子契約サービス",,,
株式会社 アレスグッド,z世代版新卒採用プラットフォーム,HR EXPO （人事労務・教育・採用）,,,
防衛省 陸上自衛隊,自衛官は国防という任務の特性から、自衛隊の精強性を保持するため、他省庁公務員には類のない若年定年制度下（一部任期制「自衛隊新卒」）にあります。退職自衛官は、職務遂行と教育訓練によって培われた、優れた企画力・指導力・実行力・協調性・責任感などのほか、職務や職業訓練などにより取得した各種資格・免許も保有しており、このような人材は、地方公共団体の防災や危機管理の分野をはじめ、金融・保険・不動産業や建設業のほか、製造業、サービス業などの幅広い分野で活躍しています。そのため、防衛省自衛隊として積極的に再就職支援等を実施し、退職予定者の生活基盤の確保（雇用確保）に努めるべく、我々、人事部援護業務課は防衛大臣より就職援護隊員として指定された要員をもって、退職自衛官の再就職援護にかかる就職援助を執り行っております。,"HR EXPO （人事労務・教育・採用）, その他 採用サービス",,,
株式会社 ボンドクリエイティブ,・企業や商品のブランディングおよびデザイン 　会社に合う人材確保、売れる商品作りのために、ブランディングで価値を可視化します。 ・ブランディングの価値を浸透する社内研修 　ブランディングを社内で共有することで、強い企業、商品作りが可能になります。 周年事業や海外進出など事業の節目に合わせた企業や商品ブランディングをご提供します。プロジェクトの内容や予算に合うチームをご提案します。（国内外の提携チームも含めた専門家チームなど）,"PR EXPO, 広報業務支援サービス, 社内広報支援サービス",,,
株式会社 マジオネット,従業員の交通事故を減らしたいと考える法人様に対し、様々な安全運転研修プランをご案内させていただいております。弊社直営の自動車教習所7校を始め、全国で約170の提携教習所で実車研修を行うお手伝いをさせていただきます。 また、従来は検査員が立ち合いのもとで行われていた運転適性検査を、任意の時間や場所でスマートフォンやタブレットで行える「WEB運転適性検査」の販売を始めました。検査終了後にリアルタイムでその結果を確認することが可能です。従来の運転適性検査にはない「認知能力診断」も採用しています。 その他、交通事故防止に関する様々なご相談に対応させていただきます。,"HR EXPO （人事労務・教育・採用）, HRテクノロジー",,,
株式会社 MS-Japan,管理部門領域のサービス掲載サイト「Manegy toB」 マネジーtoBは、経営管理領域のあらゆるサービスを網羅する国内最大級のサービス掲載サイトです。 業務で発生する様々な課題を解決したい管理部門や士業の方々に役立つ情報を提供いたします。 課題解決に必要なサービスや、 サービスを選ぶために必要なノウハウやヒントを多数掲載しています。,HR EXPO （人事労務・教育・採用）,,,
株式会社 manebi,"株式会社manebiは、「人生開発を当たり前の世の中に」をビジョンに掲げ、人材開発プラットフォーム「manebi」を提供しています。 「manebi eラーニング」をはじめ、eラーニングで培ったノウハウをもとにした「manebi 集合研修」、マニュアルの動画化や教育資料などを作成する「manebi 現場ナレッジ」、教育や人事戦略設計などのコンサルティングを提供する「manebi ハンズオン」などトータルで企業教育をサポートします。 eラーニングにおいては、⼤企業から中小・ベンチャー企業まで幅広い規模や業種の累計3,500社以上の皆さまにご利用いただき「eラーニングシステム 総合満足度No.1」を獲得しました。 eラーニングにてコンプライアンス教育や社内ナレッジ共有など包括的な教育をカンタンに実施・管理いただけるだけでなく、実践的で効果を出すことにフォーカスした集合研修にて管理職研修やリーダー研修などを実施・測定いただけます。","HR EXPO （人事労務・教育・採用）, HRテクノロジー, 社員研修サービス, 職種別研修, 階層別研修, その他 教育・人材育成サービス",,,
株式会社 マネーフォワード,"法人・個人事業者向けに、バックオフィス作業の自動化・効率化を実現するクラウドサービスを提供しています。 国内でのサービス提供社は30万社以上、2,700を超えるサービスとの連携によって、お客さまのビジネスの成長を支援します。","法務・コンプライアンス EXPO, 社内申請・ワークフロー, 電子契約サービス, 契約書作成・確認サービス, 契約書管理システム",,,
